2017-02-05 16:26:48 INFO  MemoryStore:54 - Block broadcast_4 stored as values in memory (estimated size 1473.7 KB, free 1988.8 MB)
2017-02-05 16:26:48 INFO  MemoryStore:54 - Block broadcast_4_piece0 stored as bytes in memory (estimated size 476.6 KB, free 1988.3 MB)
2017-02-05 16:26:48 INFO  BlockManagerInfo:54 - Added broadcast_4_piece0 in memory on 192.168.0.103:63440 (size: 476.6 KB, free: 1992.4 MB)
2017-02-05 16:26:48 INFO  SparkContext:54 - Created broadcast 4 from broadcast at GSO_SparkMain.java:150
2017-02-05 16:26:48 INFO  GSO_SparkMain:153 - ******************Iteration: 2***************************
2017-02-05 16:26:48 INFO  SparkContext:54 - Starting job: collect at GSO_SparkMain.java:160
2017-02-05 16:26:48 INFO  DAGScheduler:54 - Got job 2 (collect at GSO_SparkMain.java:160) with 1 output partitions
2017-02-05 16:26:48 INFO  DAGScheduler:54 - Final stage: ResultStage 2 (collect at GSO_SparkMain.java:160)
2017-02-05 16:26:48 INFO  DAGScheduler:54 - Parents of final stage: List()
2017-02-05 16:26:48 INFO  DAGScheduler:54 - Missing parents: List()
2017-02-05 16:26:48 INFO  DAGScheduler:54 - Submitting ResultStage 2 (MapPartitionsRDD[8] at map at GSO_SparkMain.java:160), which has no missing parents
2017-02-05 16:26:48 INFO  MemoryStore:54 - Block broadcast_5 stored as values in memory (estimated size 694.7 KB, free 1987.7 MB)
2017-02-05 16:26:48 INFO  MemoryStore:54 - Block broadcast_5_piece0 stored as bytes in memory (estimated size 478.3 KB, free 1987.2 MB)
2017-02-05 16:26:48 INFO  BlockManagerInfo:54 - Added broadcast_5_piece0 in memory on 192.168.0.103:63440 (size: 478.3 KB, free: 1991.9 MB)
2017-02-05 16:26:48 INFO  SparkContext:54 - Created broadcast 5 from broadcast at DAGScheduler.scala:1012
2017-02-05 16:26:48 INFO  DAGScheduler:54 - Submitting 1 missing tasks from ResultStage 2 (MapPartitionsRDD[8] at map at GSO_SparkMain.java:160)
2017-02-05 16:26:48 INFO  TaskSchedulerImpl:54 - Adding task set 2.0 with 1 tasks
2017-02-05 16:26:48 WARN  TaskSetManager:66 - Stage 2 contains a task of very large size (695 KB). The maximum recommended task size is 100 KB.
2017-02-05 16:26:48 INFO  TaskSetManager:54 - Starting task 0.0 in stage 2.0 (TID 2, localhost, partition 0, PROCESS_LOCAL, 712051 bytes)
2017-02-05 16:26:48 INFO  Executor:54 - Running task 0.0 in stage 2.0 (TID 2)
2017-02-05 16:26:49 INFO  BlockManagerInfo:54 - Removed broadcast_2_piece0 on 192.168.0.103:63440 in memory (size: 400.0 KB, free: 1992.3 MB)
2017-02-05 16:26:49 INFO  BlockManagerInfo:54 - Removed broadcast_3_piece0 on 192.168.0.103:63440 in memory (size: 401.6 KB, free: 1992.7 MB)
2017-02-05 16:26:57 INFO  Executor:54 - Finished task 0.0 in stage 2.0 (TID 2). 771150 bytes result sent to driver
2017-02-05 16:26:57 INFO  TaskSetManager:54 - Finished task 0.0 in stage 2.0 (TID 2) in 8886 ms on localhost (1/1)
2017-02-05 16:26:57 INFO  DAGScheduler:54 - ResultStage 2 (collect at GSO_SparkMain.java:160) finished in 8.888 s
2017-02-05 16:26:57 INFO  TaskSchedulerImpl:54 - Removed TaskSet 2.0, whose tasks have all completed, from pool 
2017-02-05 16:26:57 INFO  DAGScheduler:54 - Job 2 finished: collect at GSO_SparkMain.java:160, took 8.906376 s
2017-02-05 16:26:57 INFO  MemoryStore:54 - Block broadcast_6 stored as values in memory (estimated size 1693.0 KB, free 1987.9 MB)
2017-02-05 16:26:57 INFO  MemoryStore:54 - Block broadcast_6_piece0 stored as bytes in memory (estimated size 516.9 KB, free 1987.4 MB)
2017-02-05 16:26:57 INFO  BlockManagerInfo:54 - Added broadcast_6_piece0 in memory on 192.168.0.103:63440 (size: 516.9 KB, free: 1992.2 MB)
2017-02-05 16:26:57 INFO  SparkContext:54 - Created broadcast 6 from broadcast at GSO_SparkMain.java:150
2017-02-05 16:26:57 INFO  GSO_SparkMain:153 - ******************Iteration: 3***************************
2017-02-05 16:26:57 INFO  SparkContext:54 - Starting job: collect at GSO_SparkMain.java:160
2017-02-05 16:26:57 INFO  DAGScheduler:54 - Got job 3 (collect at GSO_SparkMain.java:160) with 1 output partitions
2017-02-05 16:26:57 INFO  DAGScheduler:54 - Final stage: ResultStage 3 (collect at GSO_SparkMain.java:160)
2017-02-05 16:26:57 INFO  DAGScheduler:54 - Parents of final stage: List()
2017-02-05 16:26:57 INFO  DAGScheduler:54 - Missing parents: List()
2017-02-05 16:26:57 INFO  DAGScheduler:54 - Submitting ResultStage 3 (MapPartitionsRDD[11] at map at GSO_SparkMain.java:160), which has no missing parents
2017-02-05 16:26:57 INFO  MemoryStore:54 - Block broadcast_7 stored as values in memory (estimated size 753.1 KB, free 1986.6 MB)
2017-02-05 16:26:57 INFO  MemoryStore:54 - Block broadcast_7_piece0 stored as bytes in memory (estimated size 518.3 KB, free 1986.1 MB)
2017-02-05 16:26:57 INFO  BlockManagerInfo:54 - Added broadcast_7_piece0 in memory on 192.168.0.103:63440 (size: 518.3 KB, free: 1991.7 MB)
2017-02-05 16:26:57 INFO  SparkContext:54 - Created broadcast 7 from broadcast at DAGScheduler.scala:1012
2017-02-05 16:26:57 INFO  DAGScheduler:54 - Submitting 1 missing tasks from ResultStage 3 (MapPartitionsRDD[11] at map at GSO_SparkMain.java:160)
2017-02-05 16:26:57 INFO  TaskSchedulerImpl:54 - Adding task set 3.0 with 1 tasks
2017-02-05 16:26:57 WARN  TaskSetManager:66 - Stage 3 contains a task of very large size (753 KB). The maximum recommended task size is 100 KB.
2017-02-05 16:26:57 INFO  TaskSetManager:54 - Starting task 0.0 in stage 3.0 (TID 3, localhost, partition 0, PROCESS_LOCAL, 771866 bytes)
2017-02-05 16:26:57 INFO  Executor:54 - Running task 0.0 in stage 3.0 (TID 3)
2017-02-05 16:26:58 INFO  BlockManagerInfo:54 - Removed broadcast_5_piece0 on 192.168.0.103:63440 in memory (size: 478.3 KB, free: 1992.1 MB)
2017-02-05 16:26:58 INFO  BlockManagerInfo:54 - Removed broadcast_4_piece0 on 192.168.0.103:63440 in memory (size: 476.6 KB, free: 1992.6 MB)
2017-02-05 16:27:07 INFO  Executor:54 - Finished task 0.0 in stage 3.0 (TID 3). 816495 bytes result sent to driver
2017-02-05 16:27:07 INFO  TaskSetManager:54 - Finished task 0.0 in stage 3.0 (TID 3) in 9239 ms on localhost (1/1)
2017-02-05 16:27:07 INFO  DAGScheduler:54 - ResultStage 3 (collect at GSO_SparkMain.java:160) finished in 9.239 s
2017-02-05 16:27:07 INFO  TaskSchedulerImpl:54 - Removed TaskSet 3.0, whose tasks have all completed, from pool 
2017-02-05 16:27:07 INFO  DAGScheduler:54 - Job 3 finished: collect at GSO_SparkMain.java:160, took 9.258284 s
2017-02-05 16:27:07 INFO  MemoryStore:54 - Block broadcast_8 stored as values in memory (estimated size 2.0 MB, free 1987.2 MB)
2017-02-05 16:27:07 INFO  MemoryStore:54 - Block broadcast_8_piece0 stored as bytes in memory (estimated size 545.6 KB, free 1986.6 MB)
