0	0.944
1	1.116
2	1.222
3	1.326
4	1.411
5	1.546
6	1.619
7	1.687
8	1.756
9	1.848
10	1.959
11	2.031
12	2.096
13	2.168
14	2.236
15	2.305
16	2.381
17	2.437
18	2.492
19	2.549
20	2.598
21	2.651
22	2.696
23	2.747
24	2.795
25	2.85
26	2.895
27	2.934
28	2.98
29	3.025
30	3.068
31	3.11
32	3.154
33	3.196
34	3.24
35	3.298
36	3.342
37	3.381
38	3.42
39	3.467
40	3.512
41	3.551
42	3.594
43	3.637
44	3.676
45	3.724
46	3.776
47	3.825
48	3.89
49	3.939
50	3.982
51	4.026
52	4.065
53	4.114
54	4.156
55	4.198
56	4.239
57	4.279
58	4.316
59	4.366
60	4.412
61	4.452
62	4.492
63	4.539
64	4.584
65	4.628
66	4.67
67	4.723
68	4.781
69	4.841
70	4.895
71	4.951
72	4.999
73	5.058
74	5.108
75	5.194
76	5.256
77	5.303
78	5.361
79	5.404
80	5.452
81	5.502
82	5.545
83	5.589
84	5.629
85	5.687
86	5.747
87	5.796
88	5.856
89	5.912
90	5.969
91	6.021
92	6.068
93	6.112
94	6.159
95	6.202
96	6.259
97	6.301
98	6.351
99	6.399
===============================================================
Total Time for 100 Iteartions:393.048 (s)
Average Time per iteration :3.93048 (s)
===============================================================
#nodes:4
