0	1.119
1	0.172
2	0.11
3	0.109
4	0.109
5	0.11
6	0.094
7	0.093
8	0.08
9	0.062
10	0.078
11	0.078
12	0.062
13	0.046
14	0.047
15	0.063
16	0.047
17	0.047
18	0.062
19	0.047
20	0.047
21	0.031
22	0.047
23	0.047
24	0.047
25	0.047
26	0.047
27	0.047
28	0.046
29	0.032
30	0.047
31	0.063
32	0.062
33	0.031
34	0.049
35	0.047
36	0.062
37	0.031
38	0.047
39	0.047
40	0.047
41	0.046
42	0.032
43	0.032
44	0.031
45	0.031
46	0.047
47	0.055
48	0.047
49	0.032
50	0.046
51	0.047
52	0.032
53	0.046
54	0.063
55	0.047
56	0.047
57	0.047
58	0.046
59	0.047
60	0.047
61	0.031
62	0.047
63	0.047
64	0.032
65	0.047
66	0.047
67	0.031
68	0.047
69	0.031
70	0.047
71	0.047
72	0.047
73	0.047
74	0.06
75	0.047
76	0.031
77	0.031
78	0.047
79	0.063
80	0.063
81	0.063
82	0.062
83	0.047
84	0.031
85	0.047
86	0.032
87	0.046
88	0.047
89	0.047
90	0.031
91	0.047
92	0.047
93	0.063
94	0.046
95	0.047
96	0.047
97	0.046
98	0.047
99	0.031
100	0.047
101	0.047
102	0.031
103	0.062
104	0.047
105	0.047
106	0.031
107	0.031
108	0.047
109	0.031
110	0.047
111	0.047
112	0.035
113	0.031
114	0.047
115	0.031
116	0.047
117	0.031
118	0.032
119	0.047
120	0.031
121	0.031
